company,website,country,region,target_titles,outreach_angle
Wix,https://www.wix.com,Israel,Tel Aviv,"Chief of Staff; VP Brand; VP Operations; CEO Office; Investor Relations","Street Collector can turn Wix's design-builder identity into a tangible collector object for investors."
Artlist,https://artlist.io,Israel,Tel Aviv,"Founder; CEO; Chief of Staff; VP Operations; VP Brand; Partnerships","A gift program curated like an Artlist creative brief: local artists, premium physical object, and a story investors remember."
Lightricks,https://www.lightricks.com,Israel,Jerusalem/Tel Aviv,"Founder; CEO; Chief of Staff; VP Operations; VP Brand; Corporate Communications","Lightricks already gives creators tools; this turns that creative DNA into a premium investor keepsake."
Fiverr,https://www.fiverr.com,Israel,Tel Aviv,"Chief of Staff; VP Investor Relations; VP Brand; VP Operations; Corporate Communications","A physical investor gift that celebrates the independent creative economy Fiverr helped scale."
Elementor,https://elementor.com,Israel,Tel Aviv,"Founder; CEO; Chief of Staff; VP Operations; VP Brand; Community","Street Collector as a creator-community artifact for investors who backed the future of web creation."
Riverside,https://riverside.fm,Israel,Tel Aviv,"Founder; CEO; COO; VP Operations; Head of Brand; Partnerships","For Riverside investors: a physical collector piece celebrating the creators who record, publish, and build audience."
Webflow,https://webflow.com,United States,San Francisco,"Chief of Staff; VP Operations; VP Brand; VP Investor Relations; Executive Assistant","A Webflow investor gift that feels like no-code creativity made physical."
Runway,https://runwayml.com,United States,San Francisco,"Founder; CEO; Chief of Staff; VP Operations; VP Brand; Partnerships","Runway investors backed creative tools; this gift makes that thesis tangible through local artists."
Descript,https://www.descript.com,United States,San Francisco,"Founder; CEO; COO; Chief of Staff; VP Brand; Partnerships","A premium investor gift that celebrates creators editing, publishing, and telling better stories."
Patreon,https://www.patreon.com,United States,San Francisco,"Chief of Staff; VP Operations; VP Brand; VP Partnerships; Creator Partnerships","Street Collector as modern patronage: a company gift that directly supports artists."
Framer,https://www.framer.com,Netherlands,Amsterdam,"Founder; CEO; COO; Chief of Staff; Head of Brand; Community","A Framer investor gift that feels like interactive web design turned into a collectible physical object."
WeTransfer,https://wetransfer.com,Netherlands,Amsterdam,"CEO; Chief of Staff; VP Brand; VP Operations; Partnerships; Editorial","WeTransfer already understands artist collaboration; Street Collector can become the investor-gift version of that ethos."
