company,domain,star_rating,target_titles,priority_order
Elementor,elementor.com,3,"Chief of Staff; Strategic Operations Manager","Chief of Staff > COO > Head of Operations > Strategic Operations > CEO"
Teachable,teachable.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Kajabi,kajabi.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
ConvertKit,convertkit.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Mighty Networks,mightynetworks.com,3,"Chief of Staff; COO; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Stationhead,stationhead.com,3,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
Caffeine,caffeine.tv,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Supercast,supercast.com,3,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
Passes,passes.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Cameo,cameo.com,3,"Chief of Staff; COO; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Captions,captions.ai,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Dapper Labs,dapperlabs.com,3,"Chief of Staff; VP Brand; Head of Operations","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Playtika,playtika.com,3,"Chief of Staff; COO; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Supercell,supercell.com,3,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Riot Games,riotgames.com,3,"Chief of Staff; VP Brand; Head of Operations","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Miniclip,miniclip.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Sanlo,sanlo.io,3,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
Agentio,agentio.com,3,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
Flip,flipfit.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
ShopMy,shopmy.us,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Pietra,pietrastudio.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Podia,podia.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Thinkific,thinkific.com,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Circle,circle.so,3,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Geneva,geneva.com,3,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
Stir,stirapp.com,3,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
