rank,rating,company,domain,primary_country,category,fit_reason,apollo_employee_filter,target_persona_1,target_persona_2,target_persona_3,apollo_notes
1,5,Artlist,artlist.io,Israel,Creator music/video assets,"Creator-first, premium brand, investor gift concept is highly natural","150+ preferred","Chief of Staff / CEO Office","COO / Head of Operations","VP Brand / Brand Partnerships","Reveal 1-2 contacts max"
2,5,Epidemic Sound,epidemicsound.com,Sweden,Music licensing,"Music creator company with strong artist/community story","150+ preferred","Chief of Staff / CEO Office","Head of Operations","VP Brand / Partnerships","Prioritize Sweden/local artist angle"
3,5,Canva,canva.com,Australia,Design platform,"Design-first global company with brand/community teams","150+ preferred","Chief of Staff / CEO Office","Brand Partnerships","Ecosystem / Events","Large company: use very specific titles"
4,5,Wix,wix.com,Israel,Website creation,"Creative web platform with strong design culture","150+ preferred","Chief of Staff to CEO","Corporate Development / BD","VP Brand / Partnerships","Good Israel/local artist story"
5,5,Runway,runwayml.com,United States,Creative AI video,"Creative AI platform, artist-led object fits investor storytelling","150+ preferred","Chief of Staff / CEO Office","COO / Business Operations","VP Brand / Partnerships","Use creative AI personalization"
6,5,Pika,pika.art,United States,Creative AI video,"AI video creation with strong creator/design identity","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","May be smaller; verify size"
7,5,Lightricks,lightricks.com,Israel,Creative AI/video/photo,"Creator tools plus Israel artist-localization angle","150+ preferred","Chief of Staff / CEO Office","COO / Head of Operations","VP Brand / Partnerships","High country fit"
8,5,Figma,figma.com,United States,Design collaboration,"Design culture, creative community, premium gifting fit","150+ preferred","Chief of Staff / CEO Office","Corporate Development","Brand Partnerships / Events","Large; use targeted CoS/brand only"
9,5,Framer,framer.com,Netherlands,Website design,"Design-led product and strong European creative angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Community","Verify exact employee count"
10,5,Webflow,webflow.com,United States,Website design,"Design/developer creator audience and investor-brand fit","150+ preferred","Chief of Staff / CEO Office","Business Operations","VP Brand / Community","Good US artist angle"
11,5,Typeform,typeform.com,Spain,Design-led forms,"Tasteful product brand and Barcelona creative-local angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","VP Brand / Partnerships","Avoid generic sales roles"
12,5,Picsart,picsart.com,Armenia,Creative editing,"Creator editing platform with strong visual artist fit","150+ preferred","Chief of Staff to COO","COO / Operations","VP Brand / Partnerships","Known Apollo contacts exist"
13,5,VSCO,vsco.co,United States,Photography/community,"Photography creator brand, premium object fit","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand Partnerships","Good artist/photo angle"
14,5,LottieFiles,lottiefiles.com,Malaysia,Motion design,"Motion/design creator platform, highly aligned","150+ preferred","Chief of Staff / CEO Office","Head of Operations","Partnerships","May appear slightly under 150 in Apollo"
15,5,Jitter,jitter.video,France,Motion design,"Designer motion tool with excellent local artist story","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size before reveal"
16,5,Fable,fable.app,United States,Motion design,"Collaborative motion design, creator-first story","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
17,5,Spline,spline.design,United States,3D design,"3D design tool, very strong creative edge","150+ preferred","COO / Operations","Chief of Staff / CEO Office","Brand / Community","May be below threshold"
18,5,Sketch,sketch.com,Netherlands,Design tool,"Design tool with mature creative audience","150+ preferred","Chief of Staff / CEO Office","COO / Operations","VP Brand / Partnerships","Apollo may confuse with SketchUp"
19,5,Miro,miro.com,Netherlands,Visual collaboration,"Creative collaboration platform, strong investor/event use case","150+ preferred","Chief of Staff / CEO Office","Head of Operations","Brand / Events","Local artist by hub"
20,5,Rive,rive.app,United States,Interactive design,"Design/animation platform with artist-led relevance","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Community","Verify size"
21,5,Kittl,kittl.com,Germany,Design creation,"Design-first platform, good Berlin/German artist angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Strong EU local artist fit"
22,5,Readymag,readymag.com,United States,No-code design,"Editorial/design-led web tool with premium taste","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Community","Verify size"
23,5,Zeplin,zeplin.io,United States,Design workflow,"Design-to-dev workflow with designer audience","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Good but less emotional than design creation"
24,5,ProtoPie,protopie.io,South Korea,Prototyping,"Interaction design tool, strong design audience","150+ preferred","Corporate Development","Head of Operations","Brand / Partnerships","May be under 150"
25,5,Gamma,gamma.app,United States,AI presentation,"Creative storytelling/presentation product","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Head of Marketing / Brand","May be under 150"
26,5,Uizard,uizard.io,Denmark,AI design,"AI/design creation with strong creative story","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","May route via Miro"
27,5,Leonardo.Ai,leonardo.ai,Australia,AI image creation,"AI image/video platform; strong artist-local angle","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Strong Australia artist angle"
28,5,Ideogram,ideogram.ai,Canada,AI image creation,"Creative AI design/image product","150+ preferred","Chief of Staff / CEO Office","COO / Operations","Brand / Partnerships","Verify size"
