country,region,company,website,creative_fit,employee_band_estimate,priority,why_it_fits,local_artist_angle,primary_persona_titles,secondary_persona_titles,clay_enrichment_needed,outreach_hook
Israel,Tel Aviv,Wix,https://www.wix.com,Website creation and design platform,1500+,A,"Large Israeli creator/design company; strong match for artist-led investor gifts and local pride","Israeli street artists, Tel Aviv illustrators, Wix/DeviantArt creator ecosystem","Founder/CEO; Chief of Staff; VP Investor Relations; VP Brand","VP People; Corporate Events; Executive Assistant","Verify current headcount; find investor relations/office of CEO contacts; find recent investor or board events","Street Collector can turn Wix's design-builder identity into a tangible collector object for investors."
Israel,Tel Aviv,Artlist,https://artlist.io,Music/video creator assets platform,250-1000,A,"Direct creator economy fit; premium creative audience; likely understands licensing, artists, and curation","Israeli musicians, visual artists, motion designers, creator-community artists","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Events","Verify headcount; identify CEO office and brand/partnerships leaders; enrich emails","A gift program curated like an Artlist creative brief: local artists, premium physical object, and a story investors remember."
Israel,Jerusalem/Tel Aviv,Lightricks,https://www.lightricks.com,Creative editing apps and AI content tools,500-1500,A,"Built around creators, editing, and AI creativity; strong cultural fit for artist-driven gifts","Jerusalem and Tel Aviv digital artists, illustrators, AI-assisted visual artists","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Corporate Communications","Verify current employee band; locate CEO office/ops/brand contacts","Lightricks already gives creators tools; this turns that creative DNA into a premium investor keepsake."
Israel,Tel Aviv,Fiverr,https://www.fiverr.com,Freelance creator marketplace,1500+,A,"Marketplace of creative talent; investor gift can spotlight local independent artists","Israeli freelance illustrators and designers, selected through Fiverr-style creator story","Chief of Staff; VP Investor Relations; VP Brand; VP Operations","VP People; Corporate Communications; Executive Assistant","Find investor relations and CEO office contacts; verify corporate gifting owner","A physical investor gift that celebrates the independent creative economy Fiverr helped scale."
Israel,Tel Aviv,Elementor,https://elementor.com,Website creation platform,250-1000,A,"Creator/design platform with strong WordPress and web creator community","Israeli web artists, designers, Elementor community creators","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Community","Verify company size; identify operations/brand/community leaders","Street Collector as a creator-community artifact for investors who backed the future of web creation."
Israel,Tel Aviv,Riverside,https://riverside.fm,Audio/video creator recording platform,150-500,A,"Creator-led product, premium media positioning, likely founder-led decision process","Tel Aviv video artists, podcast cover artists, motion designers","Founder/CEO; COO; VP Operations; Head of Brand","VP People; Partnerships; Community","Verify 150+ headcount; enrich founders/ops/brand contacts","For Riverside investors: a physical collector piece celebrating the creators who record, publish, and build audience."
Israel,Tel Aviv,D-ID,https://www.d-id.com,AI video and avatar creation platform,150-500,B,"AI creative tool; high-concept personalization potential","Israeli AI artists, portrait artists, digital illustrators","Founder/CEO; COO; Chief of Staff; VP Brand","VP People; Partnerships; Corporate Communications","Verify headcount; find ops/brand/CEO office contacts","A limited investor gift connecting AI-generated presence with human-made local art."
Israel,Tel Aviv,Overwolf,https://www.overwolf.com,Game creator platform,150-500,B,"Creator platform for game mods and in-game apps; strong community angle","Israeli game artists, concept artists, street/pop illustrators","Founder/CEO; VP Operations; VP Partnerships; VP Brand","VP People; Community Lead; Events","Verify headcount; identify creator/community and ops owners","A collector lamp built around the creator ecosystem behind games, mods, and community culture."
Israel,Tel Aviv,WSC Sports,https://wsc-sports.com,Sports video and content automation,250-1000,B,"Content platform, not pure creator tool, but strong media/storytelling angle","Sports illustrators, motion artists, Tel Aviv street artists","Founder/CEO; COO; VP Operations; VP Brand","VP People; Partnerships; Corporate Events","Verify investor-gifting decision makers; enrich contacts","A premium physical object that turns automated sports storytelling into an investor relationship moment."
United States,San Francisco,Webflow,https://webflow.com,Visual web design and build platform,500-1500,A,"Very strong design-builder fit; premium design culture; proven gift positioning likely resonates","Bay Area digital artists, web designers, generative artists","Chief of Staff; VP Operations; VP Investor Relations; VP Brand","VP People; Executive Assistant; Events","Verify current employee band; find CEO office/ops/brand contacts","A Webflow investor gift that feels like no-code creativity made physical."
United States,San Francisco,Figma,https://www.figma.com,Collaborative design platform,1500+,A,"Top-tier design culture; may be larger than ideal, but perfect creative alignment","Bay Area product illustrators, interface-inspired artists, design-community artists","Chief of Staff; VP Investor Relations; VP Operations; VP Brand","VP People; Corporate Communications; Events","Find investor relations/CEO office contacts; validate gifting owner","For Figma investors: a collectible object celebrating collaborative design beyond the screen."
United States,San Francisco,Notion,https://www.notion.com,Creative workspace/productivity platform,500-1500,A,"Design-forward brand, creator community, premium taste; good investor-gift fit","Bay Area illustrators, editorial artists, zine/book artists","Chief of Staff; VP Operations; VP Brand; Head of Community","VP People; Events; Corporate Communications","Verify ops/brand contacts; find investor or board-relations owner","A Notion-flavored collector piece: thoughtful, modular, personal, and built around creative work."
United States,San Francisco,Airtable,https://www.airtable.com,Visual app/data creation platform,500-1500,B,"Visual builder, creative ops, and design-led product culture","Bay Area artists working with systems, grids, color, and data visualization","Chief of Staff; VP Operations; VP Brand","VP People; Events; Executive Assistant","Verify current size; find CEO office and operations contacts","A gift that turns Airtable's structured creativity into a physical collector story."
United States,San Francisco,Runway,https://runwayml.com,AI video and creative tools,150-500,A,"Extremely high creative fit; artist-driven AI/video community; premium brand potential","NY/SF AI filmmakers, digital artists, motion artists","Founder/CEO; Chief of Staff; VP Operations; VP Brand","VP People; Partnerships; Community","Verify headcount; find CEO office/ops/partnerships contacts","Runway investors backed creative tools; this gift makes that thesis tangible through local artists."
United States,San Francisco,Descript,https://www.descript.com,Audio/video creator editing platform,150-500,A,"Creator tool with media culture; likely values thoughtful creative gifting","Bay Area audio-visual artists, podcast illustrators, motion designers","Founder/CEO; COO; Chief of Staff; VP Brand","VP People; Partnerships; Community","Verify current size; enrich CEO office, operations, and brand contacts","A premium investor gift that celebrates creators editing, publishing, and telling better stories."
