company,domain,star_rating,target_titles,priority_order,why_fit
Canva,canva.com,5,"Chief of Staff; Corporate Development; VP Brand; Head of Operations; Partnerships","Chief of Staff > Corporate Development > COO > VP Brand > Head of Operations > Partnerships > CEO","Design-first platform with strong creator/artist fit and premium gifting relevance"
Typeform,typeform.com,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Design-led form/product experience with strong brand taste"
Picsart,picsart.com,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creative editing platform with artist and creator positioning"
LottieFiles,lottiefiles.com,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Motion/design creator platform with strong visual culture"
Sketch,sketch.com,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Design tool with strong product/design audience"
Spline,spline.design,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","3D design tool with strong creative edge"
Gamma,gamma.app,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","AI presentation/storytelling tool with creator and premium design angle"
Uizard,uizard.io,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Design/AI product creation tool with strong creative positioning"
ProtoPie,protopie.io,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Interaction design/prototyping platform"
Zeplin,zeplin.io,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Design-to-dev collaboration product with design-community credibility"
Milanote,milanote.com,5,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Visual creative planning tool used by designers and creative teams"
Mural,mural.co,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Visual collaboration platform with creative/team gifting relevance"
Product Hunt,producthunt.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Startup/creator community with strong investor and founder network"
99designs,99designs.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Design marketplace with artist/community fit"
Creative Market,creativemarket.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creative asset marketplace with strong artist network"
Envato,envato.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creator marketplace; good artist-led gift alignment"
Soundstripe,soundstripe.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Music licensing platform for creators"
LANDR,landr.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Music creator tooling and distribution"
BeatStars,beatstars.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Music creator marketplace"
Output,output.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Premium music creation tools with strong brand/design aesthetic"
Arturia,arturia.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Premium music hardware/software brand; creative audience"
Skillshare,skillshare.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creative learning platform and creator audience"
Domestika,domestika.org,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creative learning/community platform with artist network"
MasterClass,masterclass.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Premium creator/learning brand with strong gifting/premium fit"
Linktree,linktr.ee,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creator economy platform with broad creator relationships"
Stan,stan.store,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creator monetization platform"
Fourthwall,fourthwall.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creator commerce/merch platform"
Memberful,memberful.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creator membership platform"
Buy Me a Coffee,buymeacoffee.com,4,"Chief of Staff; COO; VP Brand; Head of Operations; Partnerships","Chief of Staff > COO > VP Brand > Head of Operations > Partnerships > CEO","Creator monetization/tipping platform"
