company,country,primary_persona,subject,personal_opener,offer_angle,cta
Wix,Israel,"Chief of Staff / VP Brand / CEO office","Wix investor gifts with local artists","Wix is one of the clearest fits for Street Collector because the product already sits at the intersection of websites, design, and creative independence.","A limited Street Lamp investor edition curated with Tel Aviv artists and a Wix-specific creative direction, using the Simply project as proof of concept.","Worth a short call to sketch what a 25-50 piece investor edition could look like for Wix?"
Artlist,Israel,"Founder / Chief of Staff / VP Brand","Artlist x local artist investor gifts","Artlist already has the language for this: creators, licensing, sound, footage, and premium creative tools.","A Street Lamp package curated like an Artlist brief, pairing local visual artists with a physical collector object for investors.","Can I send a 1-page concept for an Artlist investor gift pilot?"
Lightricks,Israel,"CEO office / VP Brand / VP Operations","A Lightricks investor gift concept","Lightricks is built around giving creators editing power, which makes an artist-led physical gift feel native rather than decorative.","A premium Street Lamp edition with Israeli digital artists or illustrators, positioned as creativity made physical for investors.","Would you be open to a 20-minute conversation about a small investor gift edition?"
Fiverr,Israel,"Chief of Staff / VP Brand / VP Investor Relations","Investor gifts that support creators","Fiverr helped make independent creative work more visible, so a generic corporate gift would miss the point.","A curated Street Lamp investor gift that spotlights local independent artists and tells the creative marketplace story in physical form.","Who would own investor or board gifting at Fiverr?"
Elementor,Israel,"Founder / VP Operations / VP Brand","Elementor investor gift pilot","Elementor's community already thinks in visual systems, web creation, and design flexibility.","A founder-level investor gift pilot using Israeli artists and a visual direction inspired by web creation.","Could I send a short concept for a 25-piece investor pilot?"
Riverside,Israel,"Founder / COO / Head of Brand","Riverside investor gifts for creators","Riverside lives in the same world as the people this gift is meant to impress: creators, podcasts, video, and polished storytelling.","A local-artist Street Lamp edition for investors, packaged around the idea of recorded stories becoming collectible objects.","Worth exploring a small investor or board gift run?"
Webflow,United States,"Chief of Staff / VP Operations / VP Brand","Webflow creativity, made physical","Webflow has one of the strongest design-builder cultures in software, which makes a standard branded gift feel too flat.","A Street Lamp investor edition with Bay Area artists, turning Webflow's visual-builder identity into a premium physical object.","Can I send a Webflow-specific concept based on the Simply investor gift project?"
Runway,United States,"Founder / Chief of Staff / VP Brand","Runway investor gifts with artists","Runway investors backed the future of creative tools, so the gift should feel like part of that creative future rather than merch.","A limited Street Lamp edition curated with AI/video artists and local visual artists, built as a collector object for investors.","Open to a quick call about a 25-50 piece pilot?"
Descript,United States,"Founder / COO / VP Brand","A Descript investor gift idea","Descript is about making media creation more fluid, personal, and expressive, which is exactly the kind of company where an artist-led gift has meaning.","A premium Street Lamp package with local audio-visual artists and a story layer around editing, publishing, and voice.","Can I send a 1-page Descript-specific direction?"
Patreon,United States,"Chief of Staff / VP Partnerships / VP Brand","Investor gifts as modern patronage","Patreon is probably the most natural framing for this: a company gift that directly supports artists and creators.","A Street Lamp investor edition built around modern patronage, featuring independent artists and a certificate/story card.","Would this be relevant for Patreon investor, board, or partner gifts?"
Framer,Netherlands,"Founder / COO / Head of Brand","Framer investor gifts with Amsterdam artists","Framer's product makes websites feel designed, alive, and fast; that is a strong starting point for a physical collector edition.","A Street Lamp edition curated with Amsterdam digital artists and motion/web-inspired visuals.","Can I send over a Framer-specific concept?"
WeTransfer,Netherlands,"CEO office / VP Brand / Partnerships","WeTransfer-style artist gift","WeTransfer already has a history of treating creativity and artist collaboration as part of the brand, not decoration.","A Street Lamp investor gift program that feels like a physical extension of WeTransfer's artist-first editorial world.","Who would be the best person to explore a small investor gift edition?"
