company,domain,star_rating,target_titles,priority_order
Substack,substack.com,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Patreon,patreon.com,4,"Chief of Staff; COO","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Gumroad,gumroad.com,4,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
Contra,contra.com,4,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Webflow,webflow.com,4,"Chief of Staff; VP Brand; Head of Operations","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Figma,figma.com,4,"Chief of Staff; VP Brand; Head of Operations","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Notion,notion.so,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Linear,linear.app,4,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
Loom,loom.com,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Vimeo,vimeo.com,4,"Chief of Staff; VP Brand; Head of Operations","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Frame.io,frame.io,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Descript,descript.com,4,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Runway,runwayml.com,4,"COO; Chief of Staff; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Riverside,riverside.fm,4,"Chief of Staff; Head of Operations; BD Manager","Chief of Staff > COO > Head of Operations > Business Development > CEO"
Veed.io,veed.io,4,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Kapwing,kapwing.com,4,"CEO; COO; Head of Operations","COO > Head of Operations > CEO"
Photoroom,photoroom.com,4,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Tome,tome.app,4,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Beehiiv,beehiiv.com,4,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Soundtrap,soundtrap.com,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Pond5,pond5.com,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Unsplash,unsplash.com,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
EyeEm,eyeem.com,4,"Chief of Staff; CEO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Discord,discord.com,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Overwolf,overwolf.com,4,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Moon Active,moonactive.com,4,"Chief of Staff; COO; Head of Operations","Chief of Staff > COO > Head of Operations > CEO"
Lightricks,lightricks.com,4,"Chief of Staff; COO","Chief of Staff > COO > Head of Operations > CEO"
Wix,wix.com,4,"Chief of Staff to CEO; SVP BD","Chief of Staff > COO > SVP Business Development > Head of Operations > CEO"
Miro,miro.com,4,"Chief of Staff; Head of Operations; VP Brand","Chief of Staff > COO > VP Brand > Head of Operations > CEO"
Pika,pika.art,4,"CEO; COO; Chief of Staff","Chief of Staff > COO > Head of Operations > CEO"
